show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s7480,Movie,Molly's Game,Aaron Sorkin,China,2020-04-01,2017,R,141 min,Dramas,64,2020.0,4.0,141
s7482,Movie,Mona Lisa Smile,Mike Newell,United States,2019-01-01,2003,PG-13,119 min,Dramas,24,2019.0,1.0,119
s7483,Movie,Money,Martin Rosete,United States,2017-10-15,2016,R,84 min,Thrillers,27,2017.0,10.0,84
s7485,Movie,Money Talks,Brett Ratner,United States,2019-11-01,1997,R,96 min,"Action & Adventure, Comedies",83,2019.0,11.0,96
s7487,Movie,Monkey Up,Robert Vince,Canada,2016-03-19,2016,PG,83 min,"Children & Family Movies, Comedies",36,2016.0,3.0,83
s7488,Movie,Monopoly (The Bank Of Luck),Ahmed El Gendy,Egypt,2019-06-15,2017,TV-MA,117 min,"Comedies, International Movies",95,2019.0,6.0,117
s7489,Movie,Monster Family,Holger Tappe,Germany,2018-04-04,2017,PG,93 min,Children & Family Movies,51,2018.0,4.0,93
s7490,Movie,Monster High 13 Wishes,Unknown,Unknown,2018-03-01,2013,TV-Y7,73 min,Children & Family Movies,71,2018.0,3.0,73
s7481,TV Show,Momo Salon,Unknown,South Korea,2017-07-01,2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",82,2017.0,7.0,1
s7491,Movie,"Monster High: Boo York, Boo York",William Lau,United States,2015-09-29,2015,TV-Y7,72 min,"Children & Family Movies, Music & Musicals",89,2015.0,9.0,72
s7492,Movie,Monster High: Escape from Skull Shores,"Steve Ball, Andrew Duncan",United States,2018-01-01,2012,TV-Y7,46 min,Children & Family Movies,35,2018.0,1.0,46
s7493,Movie,Monster High: Freaky Fusion,Unknown,Unknown,2018-01-30,2014,TV-Y7,74 min,Children & Family Movies,19,2018.0,1.0,74
s7494,Movie,Monster High: Friday Night Frights,Dustin McKenzie,United States,2018-01-01,2013,TV-Y7,46 min,Children & Family Movies,62,2018.0,1.0,46
s7495,Movie,Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno",United States,2018-01-01,2011,TV-Y7,46 min,Children & Family Movies,44,2018.0,1.0,46
s7496,Movie,"Monster High: Frights, Camera, Action!",William Lau,United States,2018-01-01,2014,TV-Y7,74 min,Children & Family Movies,40,2018.0,1.0,74
s7497,Movie,Monster High: Ghouls Rule,"Mike Fetterly, Steve Sacks",United States,2018-03-01,2012,TV-Y7,71 min,Children & Family Movies,81,2018.0,3.0,71
s7498,Movie,Monster High: Great Scarrier Reef,William Lau,United States,2017-10-01,2016,TV-Y7,72 min,Children & Family Movies,22,2017.0,10.0,72
s7499,Movie,Monster High: Haunted,"Dan Fraga, William Lau",United States,2018-03-24,2015,TV-Y7,76 min,Children & Family Movies,6,2018.0,3.0,76
s7500,Movie,Monster High: New Ghoul at School,"Audu Paden, Eric Radomski",United States,2017-10-01,2010,TV-Y7,23 min,Children & Family Movies,17,2017.0,10.0,23
s7501,Movie,"Monster High: Scaris, City of Frights","Dustin McKenzie, Andrew Duncan, Audu Paden",United States,2015-07-07,2013,TV-G,60 min,Children & Family Movies,56,2015.0,7.0,60
s7502,Movie,Monster High: Why Do Ghouls Fall in Love?,"Dustin McKenzie, Steve Sacks",United States,2018-01-01,2013,TV-Y7,46 min,Children & Family Movies,45,2018.0,1.0,46
s7504,Movie,Monster-in-Law,Unknown,Unknown,2020-01-01,2005,PG-13,101 min,"Comedies, Romantic Movies",63,2020.0,1.0,101
s7505,TV Show,Monty Don's French Gardens,Rachel Bell,United Kingdom,2019-07-26,2013,TV-G,1 Season,"British TV Shows, Docuseries, International TV Shows",98,2019.0,7.0,1
s7507,Movie,Moon,Duncan Jones,United Kingdom,2020-01-01,2009,R,97 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",77,2020.0,1.0,97
s7508,Movie,Moonlight,Barry Jenkins,United States,2019-05-21,2016,R,111 min,"Dramas, Independent Movies, LGBTQ Movies",29,2019.0,5.0,111
s7509,Movie,Moonwalkers,Antoine Bardou-Jacquet,France,2017-09-08,2015,R,96 min,"Action & Adventure, Comedies, International Movies",2,2017.0,9.0,96
s7510,Movie,Moor,Jami,Pakistan,2017-11-01,2015,TV-14,135 min,"Dramas, Independent Movies, International Movies",5,2017.0,11.0,135
s7511,Movie,Morris from America,Chad Hartigan,Germany,2018-11-01,2016,R,91 min,"Dramas, Independent Movies, International Movies",15,2018.0,11.0,91
s7512,Movie,Mortified Nation,Michael Mayer,United States,2018-02-01,2013,TV-MA,84 min,Documentaries,50,2018.0,2.0,84
s7513,Movie,Morya,Avadhoot Gupte,India,2018-02-15,2011,TV-14,121 min,"Dramas, International Movies",71,2018.0,2.0,121
s7514,Movie,Motu Patlu: King of Kings,Suhas Kadav,India,2017-07-06,2016,TV-Y7-FV,109 min,"Children & Family Movies, Comedies",87,2017.0,7.0,109
s7515,Movie,Mountain,Jennifer Peedom,Australia,2018-10-01,2017,PG,74 min,"Action & Adventure, Documentaries, International Movies",55,2018.0,10.0,74
s7516,Movie,Movie 43,Unknown,Unknown,2019-04-09,2013,R,94 min,Comedies,1,2019.0,4.0,94
s7517,Movie,Mr. Church,Bruce Beresford,United States,2018-12-22,2016,PG-13,105 min,Dramas,23,2018.0,12.0,105
s7518,Movie,Mr. Deeds,Steve Brill,United States,2020-08-01,2002,PG-13,97 min,"Comedies, Romantic Movies",19,2020.0,8.0,97
s7519,Movie,Mr. Gaga: A True Story of Love and Dance,Tomer Heymann,Israel,2017-06-15,2015,TV-14,102 min,"Documentaries, International Movies",82,2017.0,6.0,102
s7520,Movie,Mr. Virgin,Anthony Chan,Hong Kong,2018-08-16,1984,TV-14,86 min,"Comedies, Dramas, International Movies",47,2018.0,8.0,86
s7521,Movie,Mr. Woodcock,Craig Gillespie,United States,2019-09-01,2007,PG-13,88 min,Comedies,86,2019.0,9.0,88
s7523,Movie,Ms. Mammy,Unknown,Unknown,2019-06-06,2012,TV-14,90 min,"Comedies, International Movies",54,2019.0,6.0,90
s7524,Movie,Mud,Jeff Nichols,United States,2021-01-01,2012,PG-13,131 min,"Dramas, Independent Movies",30,2021.0,1.0,131
s7525,Movie,Mujhse Shaadi Karogi,David Dhawan,India,2019-12-31,2004,TV-PG,158 min,"Comedies, International Movies, Romantic Movies",6,2019.0,12.0,158
s7526,Movie,Mune: Guardian of the Moon,"Alexandre Heboyan, Benoît Philippon",France,2018-01-26,2014,PG,85 min,Children & Family Movies,95,2018.0,1.0,85
s7527,Movie,Muppets Most Wanted,James Bobin,United States,2020-09-01,2014,PG,110 min,"Children & Family Movies, Comedies",57,2020.0,9.0,110
s7528,Movie,Murder Party,Jeremy Saulnier,United States,2018-09-01,2007,NR,79 min,"Comedies, Cult Movies, Horror Movies",72,2018.0,9.0,79
